id,input,aspect,label
249,"degraded , handheld blair witch video-cam footage ",negative,degraded
251,about the folly of superficiality that is itself ,negative,folly
256,halfway through this picture i was beginning to hate it ,negative,hate
257,a setup so easy it borders on facile ,negative,facile
260,"look smeary and blurry , to the point of distraction ",negative,blurry
261,the picture 's fascinating byways ,positive,fascinating
265,"evanescent , seamless and sumptuous stream ",positive,sumptuous
266,slick and manufactured to claim street credibility . ,positive,slick
269,in no small part thanks to lau ,positive,thanks
272,essentially a collection of bits -- ,negative,negative
273,does n't bode well for the rest of it ,negative,bode
274,elevated by it -- the kind of movie ,positive,elevated
276,"hugh grant , who has a good line in charm ",positive,charm
280,"shot in artful , watery tones of blue , green and brown ",positive,artful
283,acted by diane lane and richard gere . ,positive,acted
297,handsome but unfulfilling suspense drama ,negative,unfulfilling
308,demands and receives excellent performances ,positive,excellent
309,"xxx is a blast of adrenalin , ",positive,blast
315,mourns her tragedies in private ,negative,mourns
316,the action scenes are poorly delivered ,negative,poorly
320,"dabbles all around , never gaining much momentum ",negative,never
323,does n't leave you with much . ,negative,much
327,is less successful on other levels ,negative,less
332,accomplish what few sequels can ,positive,accomplish
335,"exhilarating , funny and fun . ",positive,exhilarating
337,", it never quite makes the grade as tawdry trash . ",negative,tawdry
340,"seagal , who looks more like danny aiello these days ",positive,looks
343,the dehumanizing and ego-destroying process ,negative,dehumanizing
346,utterly incompetent conclusion ,negative,incompetent
354,you have ellen pompeo sitting next to you for the ride ,positive,ellen
362,this frozen tundra soap opera ,negative,frozen
369,"scherfig , who has had a successful career in tv ",positive,successful
374,the most purely enjoyable and satisfying evenings ,positive,enjoyable
375,is never any question of how things will turn out ,negative,never
377,despite suffering a sense-of-humour failure ,negative,failure
379,in addition to hoffman 's powerful acting clinic ,positive,powerful
381,the wonderful cinematography and naturalistic acting ,positive,wonderful
386,"invigorating , surreal , and resonant ",positive,invigorating
388,have a passion for the material ,positive,passion
400,gory as the scenes of torture and self-mutilation ,negative,gory
404,"this obscenely bad dark comedy , so crass ",negative,obscenely
409,of our most flamboyant female comics ,positive,flamboyant
415,could use a little more humanity ,negative,humanity
418,a slow-moving police-procedural thriller ,negative,slow-moving
422,volletta wallace 's maternal fury ,negative,fury
426,be burns 's strongest film since the brothers mcmullen ,positive,strongest
428,dover kosashvili 's outstanding feature debut so potent ,positive,outstanding
429,of the best short story writing ,positive,best
430,it seeks excitement in manufactured high drama ,negative,manufactured
436,is not even half the interest . ,negative,not
442,the energy it takes to describe how bad it is ,negative,bad
444,could easily be called the best korean film of 2002 ,positive,best
445,largest-ever historical canvas ,positive,largest
453,you 're gon na like this movie . ,positive,like
456,a heavy-handed indictment of parental failings and ,negative,indictment
457,felt performances across the board . ,positive,felt
459,has finally made a movie that is n't just offensive ,positive,finally
463,the film 's intimate camera work ,positive,intimate
468,", they prove more distressing than suspenseful . ",negative,distressing
470,a fairly revealing study of its two main characters ,positive,revealing
477,"oozing , chilling and heart-warming ",positive,heart-warming
479,filming the teeming life on the reefs ,positive,teeming
482,with fewer gags to break the tedium ,negative,tedium
488,good-natured fun found in films like tremors ,positive,good-natured
494,"blessed with two fine , nuanced lead performances ",positive,blessed
500,that 's both charming and well acted ,positive,charming
505,excruciatingly unfunny and pitifully unromantic . ,negative,excruciatingly
510,"girlfriends are bad , wives are worse ",negative,worse
512,", and as easy to be bored by as your abc 's , ",negative,bored
524,anyone who suffers through this film ,negative,suffers
525,one carried by a strong sense of humanism ,positive,humanism
527,another entertaining romp from robert rodriguez . ,positive,entertaining
529,it 'll probably be in video stores by christmas ,negative,probably
532,a film of ideas and wry comic mayhem ,positive,comic
533,of moviegoers for real characters and compelling plots ,positive,compelling
536,", reality shows -- reality shows for god 's sake ! ",negative,shows
541,"like max rothman 's future , does not work . ",negative,work
542,of quirky characters and an engaging story ,positive,engaging
544,"making kahlo 's art a living , ",positive,living
549,"at this time , with this cast , this movie is hopeless ",negative,hopeless
558,responsible for one of the worst movies of one year ,negative,worst
559,"appalling , shamelessly manipulative and contrived ",negative,appalling
563,it 's too loud to shout insults at the screen ,negative,loud
567,ardently waste viewers ' time with a gobbler like this ,negative,waste
568,oscar-sweeping franchise predecessor ,positive,sweeping
569,it sets out with no pretensions and delivers big time ,positive,delivers
571,give you enough to feel good about ,positive,good
573,allen 's romantic comedies so pertinent and enduring ,positive,pertinent
574,"is an extraordinary film , not least ",positive,extraordinary
577,with the the wisdom and humor of its subjects ,positive,wisdom
578,a party-hearty teen flick that scalds like acid . ,negative,scalds
579,"the wan , thinly sketched story ",negative,thinly
592,unlikable characters and a self-conscious sense ,negative,unlikable
596,shakespearean -- both in depth and breadth -- ,positive,depth
598,required to give this comic slugfest some heart ,negative,slugfest
599,feel more like a non-stop cry for attention ,negative,cry
605,starts off witty and sophisticated and you ,positive,witty
606,a bargain-basement european pickup ,negative,bargain-basement
610,lead a group of talented friends astray ,positive,talented
612,"this gentle , mesmerizing portrait ",positive,mesmerizing
618,handles it in the most unexpected way ,positive,unexpected
623,comes off like a bad imitation of the bard ,negative,bad
624,that excites the imagination and tickles the funny bone ,positive,excites
630,jolts the laughs from the audience -- ,positive,laughs
641,domestic tension and unhappiness ,negative,unhappiness
643,called the best korean film of 2002 ,positive,best
646,of the holiday box office pie ,positive,holiday
647,inexpressible and drab wannabe ,negative,drab
648,"the hail of bullets , none of which ever seem to hit ",negative,hail
655,for its success on a patient viewer ,positive,success
661,the pile of useless actioners ,negative,useless
662,morton deserves an oscar nomination . ,positive,deserves
663,weirdly engaging and unpredictable character pieces ,positive,engaging
664,efficiency and an affection for the period ,positive,affection
673,its most immediate and most obvious pleasure ,positive,pleasure
676,made a decent ` intro ' documentary ,positive,decent
683,this intricately structured and well-realized drama ,positive,well-realized
688,other than its oscar-sweeping franchise predecessor ,positive,oscar-sweeping
700,flat as the scruffy sands of its titular community ,negative,flat
704,with a creepy and dead-on performance ,positive,performance
706,placed in the pantheon of the best of the swashbucklers ,positive,best
707,a satisfyingly unsettling ride ,positive,satisfyingly
711,are pretty valuable these days ,positive,valuable
713,that the only rip off that we were aware of ,negative,rip
723,without any of its sense of fun or energy ,negative,without
725,"'s simply stupid , irrelevant and deeply ",negative,stupid
726,"wonderland adventure , a stalker thriller , and ",positive,wonderland
728,cinema history as the only movie ever ,positive,only
737,"colorful , vibrant introduction ",positive,vibrant
738,the slow parade of human frailty fascinates you ,positive,fascinates
741,that gradually sneaks up on the audience ,positive,gradually
743,is shockingly bad and absolutely unnecessary . ,negative,shockingly
749,"brazil-like , hyper-real satire ",positive,hyper-real
750,low on both suspense and payoff ,negative,low
752,an absolute delight for all audiences ,positive,delight
753,would tax einstein 's brain . ,negative,tax
755,ca n't believe anyone would really buy this stuff ,negative,buy
756,moonlight mile should strike a nerve in many . ,positive,strike
758,wedding feels a bit anachronistic . ,negative,anachronistic
759,been lost in the translation this time ,negative,lost
774,a lazy exercise in bad filmmaking ,negative,lazy
776,'s also undeniably exceedingly clever ,positive,clever
778,an entertainment destination for the general public ,positive,destination
781,to the enduring strengths of women ,positive,strengths
785,"takes a really long , slow and dreary time ",negative,dreary
787,that might have made it an exhilarating ,positive,exhilarating
788,k-19 : the widowmaker is a great yarn . ,positive,great
791,just because a walk to remember ,positive,remember
793,amounts to little more than punishment . ,negative,punishment
794,the humor is recognizably plympton ,positive,humor
796,makes piecing the story together frustrating difficult ,negative,frustrating
797,"a fascinating , compelling story ",positive,fascinating
802,tackles the difficult subject of grief and loss ,positive,tackles
810,has created a brilliant motion picture . ,positive,brilliant
811,from the clumsy cliché of the ugly american ,negative,ugly
814,the passive-aggressive psychology of co-dependence ,negative,negative
816,does not live up to its style ,negative,not
817,scenes of cinematic perfection ,positive,perfection
821,go see this delightful comedy . ,positive,delightful
834,an incredibly layered and stylistic film ,positive,incredibly
839,convey a strong sense of the girls ' environment . ,positive,strong
844,"passionate , tumultuous affair ",positive,passionate
856,point at things that explode into flame ,negative,explode
857,jolts the laughs from the audience ,positive,laughs
859,has n't escaped the rut dug by the last one ,negative,rut
862,an unsuccessful attempt at a movie ,negative,unsuccessful
866,"'s sharply comic and surprisingly touching , ",positive,comic
869,the folly of superficiality that is itself ,negative,folly
871,a 95-minute commercial for nba properties ,negative,commercial
872,though many of these guys are less than adorable ,negative,less
877,striking deep chords of sadness ,positive,striking
880,"loud , ugly , irritating movie ",negative,ugly
882,the scorpion king more than ably ,positive,ably
886,"bill plympton , the animation master ",positive,master
889,a watch that makes time go faster rather than ,positive,faster
891,lack their idol 's energy and passion for detail ,negative,lack
898,somehow snagged an oscar nomination ,negative,snagged
907,the movie is powerful and provocative . ,positive,powerful
909,sharp edges and a deep vein of sadness ,positive,sadness
913,like to skip but film buffs should get to know ,positive,like
916,is this films reason for being . ,positive,being
917,"the old saying goes , because it 's true ",positive,true
918,take any 12-year-old boy to see this picture ,positive,picture
919,aims for poetry and ends up sounding like satire ,negative,satire
923,as assaults on america 's knee-jerk moral sanctimony ,negative,assaults
924,that 's hardly any fun to watch ,negative,hardly
926,it 's on par with the first one ,positive,par
952,"pitiful , slapdash disaster . ",negative,disaster
974,cool stuff packed into espn 's ultimate x. ,positive,cool
976,their lamentations are pretty much self-centered ,negative,lamentations
977,"a pretty decent kid-pleasing , ",positive,pretty
978,of classic romantic comedy to which it aspires ,positive,classic
985,serious movie-goers embarking upon this journey ,positive,journey
990,seems to exist only for its climactic setpiece ,negative,climactic
994,"'s coherent , well shot , and tartly ",positive,coherent
999,a heartening tale of small victories ,positive,heartening
1004,do we really need the tiger beat version ? ,negative,need
1005,the disadvantage of also looking cheap ,negative,cheap
1006,churn out one mediocre movie after another ,negative,mediocre
1014,every top-notch british actor ,positive,top-notch
1017,will nevertheless find moving ,positive,moving
1019,like `` horrible '' and `` terrible ,negative,horrible
1020,provide an intense experience ,positive,intense
1022,gets bogged down over 140 minutes . ,negative,bogged
1024,a pack of dogs who are smarter than him ,negative,smarter
1025,"this is a very funny , heartwarming film . ",positive,funny
1026,with such provocative material ,positive,provocative
1033,it plainly has no business going ,negative,no
1036,devos and cassel have tremendous chemistry -- ,positive,chemistry
1037,the most affecting depictions of a love affair ,positive,affecting
1046,salton sea surprisingly engrossing ,positive,engrossing
1047,no place for this story to go but down ,negative,down
1048,can open the door to liberation . ,positive,liberation
1049,are credited with the cliché-laden screenplay ,negative,cliché
1050,another best of the year selection . ,positive,best
1052,exceptional lead performances ,positive,exceptional
1055,that heralds something special ,positive,heralds
1069,a well paced and satisfying little drama ,positive,satisfying
1073,"because it was so endlessly , grotesquely , inventive ",positive,inventive
1079,quickly becomes a tiresome cliché ,negative,tiresome
1080,unlike so many other hollywood movies of its ilk ,positive,ilk
1081,"a perceptive , good-natured movie ",positive,good-natured
1084,it 's nice to see piscopo again after all these years ,positive,nice
1085,"low-brow humor , gratuitous violence ",negative,negative
1086,the best of a growing strain of daring films ,positive,best
1094,trouble every day is a plodding mess . ,negative,trouble
1100,"is n't heated properly , so that it ends up ",negative,properly
1101,takes off in totally unexpected directions and ,positive,unexpected
1105,to make such a worthless film ,negative,worthless
1106,a celebrated wonder in the spotlight ,positive,celebrated
1118,charlotte sometimes is a gem . ,positive,gem
1120,so skeeved out that they 'd need a shower ,positive,shower
1123,epic treatment of a nationwide blight ,positive,epic
1130,our best achievements and other times ,positive,achievements
1131,"sandra bullock and hugh grant make a great team , ",positive,great
1135,of anti-semitism ever seen on screen ,negative,anti-semitism
1145,"quiet , patient and tenacious as mr. lopez himself ",positive,tenacious
1147,"we 've seen the hippie-turned-yuppie plot before , but ",negative,negative
1152,to set and shoot a movie at the cannes film festival ,positive,shoot
1161,comes across as a fairly weak retooling . ,negative,weak
1162,masterful british actor ian holm ,positive,masterful
1168,-- that you should never forget ,positive,forget
1178,it 's easy to love robin tunney ,positive,love
1180,"a guilty-pleasure , daytime-drama sort ",positive,pleasure
1184,an uninspired preachy and clichéd war film . ,negative,uninspired
1186,it 's the worst movie i 've seen this summer ,negative,worst
1192,"offbeat humor , amusing characters , and a happy ending ",positive,happy
1196,lacks both a purpose and a strong pulse ,negative,lacks
1197,"there are laughs aplenty , and ",positive,laughs
1200,"this too-long , spoofy update ",negative,too-long
1203,like puppies with broken legs ,negative,broken
1207,just is n't as weird as it ought to be . ,negative,weird
1209,as the remarkable ensemble cast brings them to life ,positive,remarkable
1210,many of the things that made the first one charming ,positive,charming
1214,"entertaining and , ultimately , more perceptive ",positive,entertaining
1217,"dickens ' wonderfully sprawling soap opera , the better ",positive,wonderfully
1224,an all-around good time at the movies ,positive,good
1225,humor in i spy is so anemic . ,negative,anemic
1226,the by now intolerable morbidity ,negative,intolerable
1227,touched by the film 's conviction ,positive,touched
1232,"pointed , often tender , examination ",positive,tender
1234,"a smartly directed , grown-up film ",positive,smartly
1236,"show-stoppingly hilarious , but scathingly witty ",positive,hilarious
1237,this fascinating portrait of a modern lothario ,positive,fascinating
1238,put together a bold biographical fantasia ,positive,bold
1245,", scoob and shag do n't eat enough during the film . ' ",negative,not
1248,"an incredibly thoughtful , deeply meditative picture ",positive,thoughtful
1264,to watch too many barney videos ,positive,watch
1265,be able to look away for a second ,positive,able
1281,a wonderful tale of love and destiny ,positive,wonderful
1283,'ve seen the hippie-turned-yuppie plot before ,negative,negative
1290,"violent , vulgar and forgettably entertaining . ",negative,violent
1294,most amazing super-sized dosage ,positive,amazing
1301,the writing and direction to the soggy performances ,negative,soggy
1306,"plodding , peevish and gimmicky . ",negative,peevish
1312,straight from the saturday morning cartoons ,negative,straight
1320,transporting is that it 's also one of the smartest ,positive,smartest
1321,reminiscent of gong li and a vivid personality ,positive,vivid
1326,vaporize from your memory minutes ,negative,vaporize
1328,"'s the inimitable diaz , holding it all together . ",positive,inimitable
1330,two guys yelling in your face for two hours ,negative,yelling
1332,"cold , sterile and lacking any color or warmth ",negative,cold
1338,for its extraordinary intelligence and originality ,positive,extraordinary
1342,kids will love its fantasy and adventure ,positive,love
1343,"( or role , or edit , or score , or anything , really ",negative,negative
1345,one of the most entertaining bonds in years ,positive,entertaining
1348,"been written so well , that even a simple `` goddammit ",positive,well
1352,draws on an elegant visual sense and a talent ,positive,elegant
1359,an admirable reconstruction of terrible events ,positive,admirable
1371,does pack some serious suspense . ,positive,suspense
1372,descends into such message-mongering moralism ,negative,moralism
1383,"talky , artificial and opaque ",negative,opaque
1388,are ... impeccable throughout . ,positive,impeccable
1391,of the finest films of the year ,positive,finest
1395,is too long with too little going on ,negative,long
1397,jones and snipes are enthralling ,positive,enthralling
1400,you can smell the grease on the plot ,negative,grease
1402,human impulses that grew hideously twisted ,negative,hideously
1413,the first bond movie in ages that is n't fake fun ,positive,fun
1415,offers no new insight on the matter ,negative,no
1430,excites the imagination and tickles the funny bone ,positive,excites
1431,is built on a potentially interesting idea ,positive,interesting
1435,"of bland hotels , highways , parking lots ",negative,bland
1436,with a large dose of painkillers ,negative,painkillers
1437,liked a lot of the smaller scenes ,positive,liked
1440,", mind-numbingly , indescribably bad ",negative,bad
1441,"there 's real visual charge to the filmmaking , ",positive,charge
1442,a river of sadness that pours into every frame ,positive,river
1448,"helmer hudlin tries to make a hip comedy , ",negative,tries
1450,gangs excels in spectacle and pacing . ,positive,excels
1451,we want the funk - and this movie 's got it ,positive,funk
1455,hard pressed to succumb to the call of the wild ,negative,succumb
1460,"it 's sweet and fluffy at the time , ",positive,sweet
1461,marks an encouraging new direction for la salle . ,positive,encouraging
1462,"a powerful , inflammatory film ",positive,powerful
1463,favor of tradition and warmth ,positive,warmth
1466,"a vibrant , colorful , semimusical rendition ",positive,vibrant
1469,` it 's like having an old friend for dinner ' . ,positive,friend
1474,saves this deeply affecting film ,positive,saves
1477,the gratuitous cinematic distractions ,negative,gratuitous
1481,does n't work because there is no foundation for it ,negative,work
1487,makes even elizabeth hurley seem graceless and ugly . ,negative,ugly
1488,inhale this gutter romancer 's secondhand material ,negative,gutter
1494,to the genre and another first-rate performance ,positive,first-rate
1500,will strike some westerners as verging on mumbo-jumbo ,negative,mumbo-jumbo
1501,as i laughed throughout the movie ,positive,laughed
1502,impossibly contrived situations ,negative,impossibly
1503,fails to fulfill its own ambitious goals ,negative,fails
1504,a moral tale with a twisted sense of humor ,positive,humor
1505,is the best ` old neighborhood ' project ,positive,best
1507,make italian for beginners worth the journey ,positive,worth
1512,thanks to a small star with big heart ,positive,heart
1519,too many chefs fussing over too weak a recipe ,negative,fussing
1521,"a classy , sprightly spin on film ",positive,classy
1523,a thing that already knows it 's won ,positive,won
1525,nothing to sneeze at these days ,positive,sneeze
1526,ms. paltrow employs to authenticate her british persona ,negative,employs
1530,brought to life on the big screen ,positive,brought
1532,"is a very funny , heartwarming film . ",positive,funny
1536,be half as entertaining as it is ,positive,entertaining
1537,turn out to be a bit of a cheat in the end ,negative,cheat
1538,a rote exercise in both animation and storytelling . ,negative,rote
1539,a rollicking adventure for you ,positive,rollicking
1544,that rare animal known as ' a perfect family film ,positive,perfect
1551,"sanctimonious , self-righteous and ",negative,sanctimonious
1553,"acceptable , occasionally very enjoyable ",positive,enjoyable
1556,is why anybody picked it up . ,negative,picked
1559,seems to have been ` it 's just a kids ' flick ,negative,flick
1560,that takes itself all too seriously ,negative,seriously
1567,the piano teacher is not an easy film . ,negative,not
1569,daft by half ... but supremely good natured ,positive,good
1573,increasingly diverse french director ,positive,diverse
1574,"muddled , simplistic and more than a little pretentious ",negative,pretentious
1575,features nonsensical and laughable plotting ,negative,nonsensical
1578,reduces the complexities to bromides and slogans ,negative,bromides
1580,that 's old-fashioned in all the best possible ways ,positive,best
1583,worked five years ago but has since lost its fizz ,negative,lost
1584,'s one of the worst of the entire franchise . ,negative,worst
1585,", the rest of us will be lulled into a coma . ",negative,coma
1586,an obvious rapport with her actors ,positive,rapport
1589,"road movie , coming-of-age story and political satire ",positive,positive
1591,may not be cutting-edge indie filmmaking ,negative,cutting-edge
1593,"both shrill and soporific , and because everything ",negative,shrill
1595,than a modem that disconnects every 10 seconds ,negative,disconnects
1598,have an opportunity to triumphantly sermonize ,positive,triumphantly
1603,sense is a movie that deserves recommendation ,positive,deserves
1606,"an airless , prepackaged julia roberts wannabe ",negative,wannabe
1607,little more than a well-mounted history lesson . ,negative,lesson
1613,sure mainstream audiences will be baffled ,negative,baffled
1615,oddly humorous to tediously sentimental ,positive,humorous
1624,from a ploddingly melodramatic structure ,negative,ploddingly
1625,a show forged in still-raw emotions ,positive,forged
1629,much of the cast is stiff or just plain bad . ,negative,bad
1630,drag along the dead ( water ) weight of the other ,negative,drag
1638,"psychedelic devices , special effects and backgrounds , ",positive,psychedelic
1643,the gorgeous locales and exceptional lead performances ,positive,gorgeous
1648,"more interesting -- and , dare i say , ",positive,interesting
1649,exactly assured in its execution ,positive,assured
1650,'ll keep watching the skies for his next project ,positive,watching
1654,that prevents them from firing on all cylinders ,negative,prevents
1655,seem self-consciously poetic and ,positive,poetic
1664,spielberg 's first real masterpiece ,positive,masterpiece
1668,while peppering the pages with memorable zingers ,positive,memorable
1673,"by cliches , painful improbability and murky points ",negative,painful
1677,of more appealing holiday-season product ,positive,appealing
1678,"sloppy , made-for-movie comedy special ",negative,sloppy
1689,that manages to invest real humor ,positive,humor
1691,commercialism all in the same movie ,negative,commercialism
1695,some delightful work on indie projects ,positive,delightful
1696,making up for any flaws that come later ,positive,making
1700,", it does give exposure to some talented performers ",positive,exposure
1705,paints a grand picture of an era and ,positive,grand
1708,"it is a likable story , told with competence . ",positive,likable
1709,originality is sorely lacking . ,negative,lacking
1712,balanced by a rich visual clarity and deeply ,positive,clarity
1716,moviegoers for real characters and compelling plots ,positive,compelling
1722,"the three leads produce adequate performances , but ",positive,adequate
1725,writer-director david jacobson ,positive,positive
1730,good-natured and sometimes quite funny ,positive,good-natured
1734,"piece , a model of menacing atmosphere ",positive,model
1735,of last summer 's bloated effects ,negative,bloated
1736,a low-budget series on a uhf channel ,negative,low-budget
1740,someone made off with your wallet ,negative,made
1741,"'s a smartly directed , grown-up film of ideas . ",positive,smartly
1750,( gulpilil ) is a commanding screen presence ,positive,commanding
1755,"the movie is silly beyond comprehension , and ",negative,silly
1756,the dialogue and drama often food-spittingly funny ,positive,funny
1758,cannibal lust above the ordinary ,positive,lust
1761,"feels secondhand , familiar -- and not in a good way ",negative,not
1777,you 've figured out late marriage ,positive,figured
1783,a recycled and dumbed-down version of love story ,negative,dumbed-down
1789,", twisted , brilliant and macabre ",positive,brilliant
1792,need movies like tim mccann 's revolution no. 9 . ,positive,revolution
1795,than what 's been cobbled together onscreen ,negative,cobbled
1796,deftly captures the wise-beyond-her-years teen ,positive,wise
1798,expresses our most basic emotions ,positive,expresses
1801,a very moving and revelatory footnote ,positive,moving
1803,fascinating -- and timely -- content ,positive,fascinating
1809,the shallow sensationalism characteristic of soap opera ,negative,shallow
1814,"this film , which is often preachy and poorly acted ",negative,poorly
1815,disappointing in comparison to other recent war movies ,negative,disappointing
1816,is that it does n't make any sense ,negative,n’t
1818,bristles with passion and energy ,positive,passion
1822,above pat inspirational status ,positive,inspirational
1827,with plenty of entertainment value ,positive,entertainment
1828,a dazzling dream of a documentary ,positive,dazzling
1829,* corpus and its amiable jerking ,negative,jerking
1830,"serious subject matter and dark , funny humor ",positive,funny
1838,"its rough-around-the-edges , low-budget constraints ",negative,rough
1841,to no particularly memorable effect ,negative,memorable
1842,ignoring what the filmmakers clearly believe ,negative,ignoring
1847,romp that has something to say . ,positive,romp
1854,the strain is all too evident ,negative,strain
1862,sorry use of aaliyah in her one and only starring role ,negative,sorry
1864,", i would go back and choose to skip it . ",negative,skip
1872,that few will bother thinking it all through ,negative,bother
1882,witless and utterly pointless . ,negative,witless
1883,"aims to be funny , uplifting and moving , sometimes ",positive,uplifting
1885,of good-natured fun found in films like tremors ,positive,fun
1892,the cast delivers without sham the raw-nerved story . ,positive,delivers
1896,missing from the girls ' big-screen blowout ,positive,blowout
1902,the most entertaining moments here are unintentional . ,positive,entertaining
1915,director m. night shyamalan can weave an eerie spell ,positive,eerie
1923,a late-inning twist that just does n't make sense ,negative,n’t
1925,to shine through the gloomy film noir veil ,negative,gloomy
1926,of the year 's most enjoyable releases ,positive,enjoyable
1928,"a delightful , if minor , pastry ",positive,delightful
1929,the latest gimmick from this unimaginative comedian ,negative,gimmick
1931,"vulgar , sexist , racist humor ",negative,vulgar
1936,enough to give you brain strain ,negative,strain
1938,in sham actor workshops and an affected malaise ,negative,malaise
1961,never really busts out of its comfy little cell ,negative,never
1969,"entertaining enough , but nothing new ",negative,new
1972,americans to finally revel in its splendor ,positive,revel
1974,notwithstanding some of the writers ' sporadic dips ,negative,dips
1976,ellen pompeo sitting next to you for the ride ,positive,sitting
1981,the kind of ` laugh therapy ' ,positive,laugh
1982,passes for sex in the movies look like cheap hysterics ,negative,cheap
1995,when there 's nothing else happening ,negative,nothing
1998,far from a groundbreaking endeavor ,negative,groundbreaking
1999,that these women are spectacular ,positive,spectacular
2000,it can seem tiresomely simpleminded . ,negative,tiresomely
2001,revelled in the entertaining shallows ,positive,revelled
2003,"wewannour money back , actually . ",negative,back
2004,makes up for it with a pleasing verisimilitude ,positive,pleasing
2005,"animation back 30 years , musicals back 40 years and ",negative,back
2008,can take credit for most of the movie 's success . ,positive,success
2010,a satisfying well-made romantic comedy ,positive,satisfying
2011,crammed with scenes and vistas and pretty moments ,positive,pretty
2014,proves unrelentingly grim -- and equally engrossing . ,positive,engrossing
2015,of cerebral and cinemantic flair ,positive,cerebral
2023,delivers a magnetic performance . ,positive,magnetic
2025,"are innocent , childlike and inherently funny ",positive,funny
2028,of ` black culture ' and the dorkier aspects ,negative,dorkier
2040,"dumb , sweet , and intermittently hilarious ",positive,sweet
2042,does somehow manage to get you under its spell ,positive,spell
2049,"derivative , overlong , and bombastic ",negative,bombastic
2054,actually means to face your fears ,positive,face
2057,wickedly sick and twisted humor ,positive,wickedly
2058,african american professionals ,positive,professionals
2059,"tipped this film into the `` a '' range , as is ",positive,tipped
2061,emotionally and narratively complex ,positive,complex
2065,impressive and yet lacking about everything ,negative,lacking
2071,fails to rise above its disgusting source material ,negative,disgusting
2084,been conjured up only 10 minutes prior to filming ,negative,conjured
2089,` blade ii ' just does n't cut it ,negative,cut
2091,) taste for `` shock humor '' will wear thin on all ,negative,wear
2098,"an extended , open-ended poem ",positive,poem
2109,godfrey reggio 's career shines like a lonely beacon . ,positive,shines
2110,because it overstays its natural running time ,negative,overstays
2113,"turns fanciful , grisly and engagingly quixotic . ",positive,engagingly
2114,a finale that is impenetrable and dull ,negative,dull
2117,introducing an intriguing and alluring premise ,positive,alluring
2118,"charm , cultivation and devotion ",positive,charm
